Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
10,20.8,186.35192513092,407.93,3820.35827705989,250.95,2230.78947180141
100,24.045,133.410393054664,3668.955,33260.9520152833,1917.625,23310.3805868625
1000,80.1033333333333,135.008910775878,14987.9533333333,66167.0318085814,18274.2366666667,73053.2027735539
10000,569.6925,867.477572011951,96107.555,158471.727432189,77971.925,143212.302789231
100000,5737.678,10431.132171261,764429.174,1349574.34783492,1092249.824,2033832.97427376
