Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
10,12.32,20.2340702776283,392.64,450.622603072682,592.36,1791.01444170615
100,23.1293532338308,23.0706935219055,860.427860696517,1065.1908809951,1642.1592039801,2300.46852237002
1000,111.072847682119,128.547700288673,13351.2317880795,54995.8766967273,10078.4966887417,18096.0273125076
10000,851.31017369727,1309.8917133926,61659.6600496278,169904.419651492,177067.518610422,346773.486584327
100000,6229.64682539683,10851.7254283406,257505.061507937,425270.870660215,2121655.54365079,3976142.60090244
